class,file,bytes,status,H,W,dtype,z_min_nm,z_max_nm,z_mean_nm,z_std_nm,pixel_to_nm,scan_um,channel
ZdraviLudia,29.002,8429568,ok,1024,1024,float64,-910.535,888.183,-119.856,262.536,90.348,92.52,Height
ZdraviLudia,29.003,8429568,ok,1024,1024,float64,-1020.273,181.072,-378.948,211.904,48.828,50.00,Height
ZdraviLudia,7.001,8429568,ok,1024,1024,float64,-929.821,454.105,-213.749,271.041,90.348,92.52,Height
ZdraviLudia,6L.000,8429568,ok,1024,1024,float64,-342.305,733.903,112.807,141.167,90.348,92.52,Height
ZdraviLudia,Kontr_01.03.2023_LO.015,565248,ok,256,256,float64,-751.590,726.829,-289.978,215.321,361.394,92.52,Height
SklerozaMultiplex,19_SM_MK.005,22192128,ok,1664,1664,float64,-1283.307,2722.622,43.228,626.865,55.599,92.52,Height
SklerozaMultiplex,19_PM_SM.002,565248,ok,256,256,float64,-692.560,341.382,-231.011,188.119,361.394,92.52,Height
SklerozaMultiplex,19_PM_SM.005,8429568,ok,1024,1024,float64,-574.004,660.559,-86.722,204.623,90.348,92.52,Height
SklerozaMultiplex,19_PM_SM.067,2138112,ok,512,512,float64,-583.392,853.372,-60.821,204.568,180.697,92.52,Height
SklerozaMultiplex,19_PM_SM.004,8429568,ok,1024,1024,float64,-546.037,202.657,-236.488,110.252,48.828,50.00,Height
SklerozaMultiplex,19_PM_SM.003,69378048,ok,2944,2944,float64,-89.889,783.383,244.306,129.796,16.984,50.00,Height
SklerozaMultiplex,19_SM_MK.004,2138112,ok,512,512,float64,-1167.579,1950.938,-611.703,377.434,97.656,50.00,Height
SklerozaMultiplex,19_SM_MK.003,4759552,ok,768,768,float64,-1094.220,3380.919,-351.712,435.090,120.465,92.52,Height
SklerozaMultiplex,19_PM_SM.066,8429568,ok,1024,1024,float64,782.136,1169.999,856.647,44.399,9.766,10.00,Height
SklerozaMultiplex,19_PM_SM.068,565248,ok,256,256,float64,-212.280,609.962,80.368,116.858,195.312,50.00,Height
SklerozaMultiplex,1-SM-LM-18.002,8429568,ok,1024,1024,float64,-535.554,616.738,-126.686,188.563,90.348,92.52,Height
SklerozaMultiplex,1-SM-LM-18.005,2138112,ok,512,512,float64,-964.893,1562.564,-178.599,312.745,180.697,92.52,Height
SklerozaMultiplex,1-SM-PM-18.004,8429568,ok,1024,1024,float64,-92.111,972.520,297.555,181.781,90.348,92.52,Height
SklerozaMultiplex,20_LM_SM-SS.002,8429568,ok,1024,1024,float64,-572.560,643.860,-37.971,170.088,90.348,92.52,Height
